original_filename,resized_filename,original_path,resized_path,filter_status,clean_file_id,clean_camera,mask_file_id,spill_rate,coverage,mask_dominant_class,caption
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.png,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000,f,2521_FV,0.093284,0.539928,3,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.png,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000,f,2796_FV,0.003892,0.997208,3,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,2406_MVL,0.026308,0.89679,2,"noticeable semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2549_FV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,2549_FV,0.828994,0.058521,1,"noticeable transparent soiling layer, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3176_MVL_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,3176_MVL,0.727572,0.10527,3,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_3190_RV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,3190_RV,0.831526,0.105289,3,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,4317_RV,0.000783,0.99929,2,"severe semi-transparent dirt smudge, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4452_RV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,4452_RV,0.520825,0.296425,3,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,4573_FV,0.001244,0.999512,3,"severe opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.png,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000_640x480.png,sd_scripts/lora/accepted_20260224_164715/original_512x512/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4710_MVL_s000_640x480.png,accepted,1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000,f,4710_MVL,0.696803,0.132797,3,"noticeable opaque heavy stains, on camera lens, out of focus foreground, subtle glare, background visible"
