filename,resized_path,seg,level,view,spill_rate,coverage,mask_class
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2521_FV_s000_640x480.png,1,5,FV,0.093284,0.539928,3
1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg1_final_level_max5_20250705162827_20250705162835_f_t0000000000_f000000000_2796_FV_s000_640x480.png,1,5,FV,0.003892,0.997208,3
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_2406_MVL_s000_640x480.png,2,4,MVL,0.026308,0.89679,2
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4317_RV_s000_640x480.png,2,4,RV,0.000783,0.99929,2
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000000000_f000000000_4573_FV_s000_640x480.png,2,4,FV,0.001244,0.999512,3
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_0447_MVR_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_0447_MVR_s000_640x480.png,0,0,unknown,0.094723,0.824493,3
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1214_MVL_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1214_MVL_s000_640x480.png,2,4,MVL,0.002118,0.998051,3
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1224_RV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_1224_RV_s000_640x480.png,2,4,RV,0.005287,0.996094,3
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_2839_MVR_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_2839_MVR_s000_640x480.png,0,0,unknown,0.026824,0.935173,2
1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_3372_FV_s000.png,sd_scripts/lora/accepted_20260224_164715/resized_640x480/1751703857935_1751704212892_01_merged_seg2_final_level_max4_20250705162944_20250705163002_f_t0000011000_f000000275_3372_FV_s000_640x480.png,2,4,FV,0.040317,0.953091,2
